CODICESCUOLA,NUMEROSTUDENTI,STUDENTIIRC
IB1M00300C,303,299
IBIC816001,585,405
IBIC81200N,783,625
IBIC81700R,641,444
IBIC80900T,943,730
IBIC810002,380,311
IBIC80300V,639,493
IBIC81800L,936,872
IBIC81100T,887,766
IBIC81900C,970,831
IBIC815005,797,627
IBIC81300D,835,714
IBPC090009,292,223
IBTD040007,632,321
IBTF020008,1122,689
IBPS09000C,806,636
IBRC090001,629,465
IB1M00200L,349,339
IBIC80400P,840,751
IBIC814009,740,675
IBPC03000N,753,677
IBIC807006,455,349
IBTD025005,219,219
IBTL01000T,191,155
IBPS01000G,653,563
IBPC040008,655,539
IBPM020007,837,635
IBTE015002,204,174
IBPQ02500E,123,115
IBRH16500A,441,378
IBFP002452,256,155
IBFP002457,230,162
IBFP002451,496,425
IBFP002454,463,353
