CODICESCUOLA,NUMEROSTUDENTI,STUDENTIIRC
TBEE001012,346,335
TBEE001045,38,38
TBEE001067,0,0
TBEE001078,142,142
TBEE00201T,373,299
TBEE00203X,65,54
TBEE002041,72,57
TBEE00801R,401,342
TBEE00802T,89,89
TBEE00803V,83,75
TBEE00804X,72,70
TBEE008051,98,95
TBEE014003,148,125
TBEE014025,30,27
TBEE014036,61,57
TBEE014047,39,39
TBEE014058,48,48
TBEE014069,77,72
TBEE01407A,12,12
TBEE01408B,18,13
TBEE01409C,30,30
TBEE01501X,81,79
TBEE015021,37,36
TBEE015032,76,75
TBEE015043,36,36
TBEE015054,21,10
TBEE015065,181,176
TBEE015076,13,13
TBEE015087,76,76
TBEE01602R,107,105
TBEE01701G,198,177
TBEE01702L,26,19
TBEE01706R,25,24
TBEE01707T,65,51
TBEE01709X,97,54
TBEE019006,225,205
TBEE030012,141,111
TBEE030023,64,58
TBEE030045,18,13
TBEE030056,31,29
TBEE030067,76,76
TBEE030089,60,54
TBEE03100R,203,171
TBEE03102V,32,28
TBEE03900B,109,101
TBEE042018,151,132
TBEE042029,83,83
TBEE04203A,15,15
TBEE04204B,25,25
TBEE04205C,22,13
TBEE04206D,37,35
TBEE04207E,58,53
TBEE04208G,45,45
TBEE04209L,78,77
TBEE100013,257,220
TBEE100024,86,77
TBEE100035,185,175
TBEE100046,95,91
TBEE10100T,335,294
TBEE10102X,32,32
TBEE101031,31,31
TBEE101042,18,18
TBEE101053,82,78
TBEE101064,137,104
TBEE800015,177,172
TBEE800026,53,51
TBEE801011,21,21
TBEE801022,13,13
TBEE801033,58,58
TBEE801044,14,14
TBEE80202T,127,120
TBEE80203V,100,94
TBEE80204X,99,91
TBEE802051,44,38
TBEE80402D,52,46
TBEE80403E,67,67
TBEE80404G,30,29
TBEE80405L,38,36
TBEE80406N,28,28
TBEE80407P,12,12
TBEE805018,202,154
TBEE805029,97,88
TBEE806014,117,110
TBEE806025,33,33
TBEE806036,44,39
TBEE806047,45,43
TBEE806058,89,76
TBEE80701X,58,57
TBEE807021,145,134
TBEE80801Q,16,16
TBEE80802R,21,21
TBEE80803T,44,44
TBEE80804V,52,49
TBEE80902L,21,20
TBEE80903N,23,23
TBEE80904P,67,66
TBEE81001Q,130,111
TBEE81002R,37,37
TBEE81003T,41,41
TBEE81004V,82,82
TBEE81005X,16,16
TBEE810072,207,190
TBEE81101G,336,328
TBEE81102L,50,50
TBEE81103N,24,24
TBEE81201B,24,17
TBEE81202C,28,10
TBEE81203D,18,18
TBEE81204E,81,81
TBEE81205G,56,54
TBEE81206L,26,26
TBEE813017,151,135
TBEE813028,58,53
TBEE813039,10,10
TBEE81304A,20,20
TBEE814035,255,234
TBEE814057,29,29
TBEE814068,22,21
TBEE814079,13,13
TBEE81408A,26,26
TBEE81409B,24,23
TBEE81501V,99,92
TBEE81502X,62,56
TBEE815031,12,11
TBEE815042,52,52
TBEE815053,16,16
TBEE815064,36,32
TBEE815075,32,32
TBEE81601P,136,126
TBEE81602Q,39,39
TBEE81603R,93,89
TBEE81604T,33,31
TBEE81606X,77,73
TBEE816071,19,19
TBEE81703L,36,34
TBEE81704N,20,20
TBEE81801A,203,190
TBEE81802B,20,20
TBEE81803C,101,101
TBEE81805E,19,19
TBEE81806G,19,19
TBEE81807L,38,38
TBEE81808N,16,16
TBEE819016,95,89
TBEE819027,56,51
TBEE819038,50,47
TBEE82001A,96,94
TBEE82002B,14,14
TBEE82003C,19,19
TBEE82005E,21,21
TBEE82006G,36,35
TBEE82007L,52,51
TBEE821016,199,180
TBEE821027,80,76
TBEE821038,7,7
TBEE821049,28,25
TBEE822012,108,108
TBEE822034,40,40
TBEE822045,29,29
TBEE822056,45,45
TBEE82301T,200,164
TBEE82302V,39,39
TBEE82303X,63,61
TBEE823041,24,21
TBEE823052,41,41
TBEE82401N,153,152
TBEE82402P,17,17
TBEE82403Q,25,25
TBEE82404R,24,24
TBEE82405T,42,42
TBEE82406V,13,13
TBEE82407X,29,29
TBEE82502E,31,31
TBEE82503G,68,60
TBEE82504L,34,34
TBEE826019,69,64
TBEE82602A,30,30
TBEE82603B,31,30
TBEE82604C,62,61
TBEE82605D,97,95
TBEE827015,93,76
TBEE827026,61,57
TBEE827037,42,42
TBEE827048,51,50
TBEE827059,62,62
TBEE828011,107,107
TBEE828033,49,48
TBEE828044,22,22
TBEE828055,71,71
TBEE82903V,56,53
TBEE82904X,36,34
TBEE829051,61,56
TBEE829084,153,139
TBEE829095,21,21
TBEE829107,27,27
TBEE829118,160,152
TBEE830011,96,89
TBEE830022,58,56
TBEE830033,34,34
TBEE830044,33,31
TBEE830055,11,9
TBEE830066,25,25
TBEE830088,24,24
TBEE83101R,232,206
TBEE83102T,27,26
TBEE83103V,17,17
TBEE83104X,64,64
TBEE831051,15,15
TBEE83203P,69,52
TBEE83205R,14,14
TBEE83206T,275,219
TBEE83301C,71,40
TBEE83302D,74,72
TBEE83303E,21,18
TBEE83304G,28,27
TBEE83305L,65,64
TBEE834029,37,37
TBEE83403A,10,10
TBEE83404B,86,85
TBEE83405C,18,18
TBEE83406D,59,59
TBEE835014,400,344
TBEE83601X,358,164
TBEE83701Q,227,156
TBEE83702R,70,41
TBEE83703T,90,70
TBEE83704V,24,15
TBEE83801G,58,58
TBEE83802L,42,41
TBEE83803N,28,28
TBEE83804P,19,19
TBEE83807T,41,39
TBEE83808V,34,34
TBEE83809X,49,49
TBEE83901B,70,69
TBEE83902C,92,91
TBEE84001G,132,113
TBEE84002L,72,70
TBEE84003N,42,38
TBEE84005Q,37,37
TBEE84006R,54,53
TBEE84008V,60,55
TBEE84101B,311,241
TBEE84102C,73,50
TBEE84103D,114,112
TBEE842017,261,238
TBEE842028,112,109
TBEE842039,12,12
TBEE84204A,22,22
TBEE84205B,45,45
TBEE84206C,47,44
TBEE84207D,24,24
TBEE843013,144,132
TBEE843024,7,7
TBEE843035,13,9
TBEE843057,151,147
TBEE84401V,115,107
TBEE84402X,61,57
TBEE844031,51,47
TBEE844042,51,48
TBEE844053,81,76
TBEE844064,108,100
TBEE84501P,169,103
TBEE84502Q,198,121
TBEE84503R,75,74
TBEE84504T,185,144
TBMM80401B,107,104
TBMM80901E,122,116
TBMM834017,114,114
TBMM00700V,493,442
TBMM013006,419,374
TBMM01500T,350,312
TBMM05400C,108,73
TBMM800014,136,131
TBMM80101X,28,28
TBMM801021,22,22
TBMM80201Q,173,162
TBMM80202R,105,100
TBMM80401B,222,217
TBMM805017,270,199
TBMM805017b,120,94
TBMM806013,111,106
TBMM806024,57,50
TBMM80701V,344,324
TBMM80801P,94,94
TBMM80901E,142,132
TBMM81001P,386,358
TBMM81101E,199,191
TBMM81201A,142,129
TBMM813016,150,141
TBMM814012,215,195
TBMM81501T,179,171
TBMM81601N,251,237
TBMM81701D,116,100
TBMM818019,246,238
TBMM819015,117,106
TBMM820019,263,237
TBMM821015,157,147
TBMM822011,84,84
TBMM822022,48,48
TBMM82301R,251,228
TBMM82401L,177,175
TBMM82501C,170,166
TBMM826018,140,139
TBMM827014,193,172
TBMM82801X,435,383
TBMM82901Q,346,314
TBMM83001X,165,153
TBMM83101Q,212,195
TBMM83201G,59,47
TBMM83301B,133,119
TBMM834017,93,93
TBMM834028,102,102
TBMM835013,258,232
TBMM83601V,219,127
TBMM83701P,205,160
TBMM83801E,161,157
