ANNOSCOLASTICO,AREAGEOGRAFICA,REGIONE,PROVINCIA,CODICESCUOLA,DENOMINAZIONESCUOLA,INDIRIZZOSCUOLA,CAPSCUOLA,CODICECOMUNESCUOLA,DESCRIZIONECOMUNE,DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA,INDIRIZZOEMAILSCUOLA,INDIRIZZOPECSCUOLA,SITOWEBSCUOLA
202223,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TN1E00800N,SCUOLA PRIMARIA GARDASCUOLA,"VIA XXIV MAGGIO, 1",38062,A372,ARCO,SCUOLA PRIMARIA NON STATALE,ISTITUTO@GARDASCUOLA.IT,Non Disponibile,Non Disponibile
202223,NORD OVEST,VALLE D' AOSTA,AOSTA,AO1E60201X,"Scuola primaria paritaria ""San Giuseppe""","Via Roma, 17",11100,A326,AOSTA,SCUOLA PRIMARIA NON STATALE,scuola.s.giuseppe@tiscali.it,primaria@pec.scuolesangiuseppe.vda.it,https://www.sangiuseppeaosta.com/
202223,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TN1M00800V,"GARDASCUOLA ""PADRE MONTI""","VIA XXIV MAGGIO, 1",38062,A372,ARCO,SCUOLA SEC. PRIMO GRADO NON STATALE,ISTITUTO@GARDASCUOLA.IT,Non Disponibile,Non Disponibile
202223,NORD OVEST,VALLE D' AOSTA,AOSTA,AO1A60201X,"Scuola dell'infanzia paritaria ""San Giuseppe""","Via Roma, 17",11100,A326,AOSTA,SCUOLA INFANZIA NON STATALE,scuola.s.giuseppe@tiscali.it,primaria@pec.scuolesangiuseppe.vda.it,https://www.sangiuseppeaosta.com/
202223,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNTD37500F,"COLLEGIO ARCIVESCOVILE ""CELESTINO ENDRICI""","VIA CELESTINO ENDRICI, 23",38122,L378,TRENTO,SCUOLA SEC. SECONDO GRADO NON STATALE,Non Disponibile,Non Disponibile,Non Disponibile
202223,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,IB1M00300C,RAINERUM,"PIAZZA DOMENICANI, 15",39100,A952,BOLZANO * BOZEN,SCUOLA SEC. PRIMO GRADO NON STATALE,SEGRETERIA@RAINERUM.IT,rainerum@pec.brennercom.net,Non Disponibile
202223,NORD OVEST,VALLE D' AOSTA,AOSTA,AORR02000A,ISTITUTO PROFESSIONALE DEL SETTORE SERVIZI,VIA DELLA STAZIONE 39,11024,C294,CHATILLON,SCUOLA SEC. SECONDO GRADO NON STATALE,info_ipra@fondazioneturistica.it,Non Disponibile,http://www.fondazioneturistica.it/
202223,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TB1M008007,HERZ JESU INSTITUT- MUEHLBACH,HAUPTSTRASSE 38,39037,H299,RIO DI PUSTERIA * MUEHLBACH,SCUOLA SEC. PRIMO GRADO NON STATALE,Non Disponibile,Non Disponibile,Non Disponibile
202223,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,IBTE015002,"LICEO DELLE SCIENZE UMANE ""SANDRO PERTINI""",VIA MASO DELLA PIEVE 4/F,39100,A952,BOLZANO * BOZEN,SCUOLA SEC. SECONDO GRADO NON STATALE,Non Disponibile,contempora.itasbz@pec.it,http://www.itasbz.it/
202223,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TN1E00900D,"ASSOCIAZIONE PEDAGOGICA ""RUDOLF STEINER""","VIA CONCI, 86",38100,L378,TRENTO,SCUOLA PRIMARIA NON STATALE,SEGRETERIA@SCUOLASTEINER-TRENTO.IT,Non Disponibile,Non Disponibile
202223,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,IBPQ02500E,"Liceo scientifico delle scienze applicate ""GIUSEPPE TONIOLO""",VIA FAGO 46,39100,A952,BOLZANO * BOZEN,SCUOLA SEC. SECONDO GRADO NON STATALE,SEGRETERIA@TONIOLO-ONLINE.IT,dialoga@selfpec.it,http://liceotoniolo.bz.it/
202223,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBPC00500L,ST. ANTONIUS PP. FRANZISKANER,VIA VINTOLA 23,39100,A952,BOLZANO * BOZEN,SCUOLA SEC. SECONDO GRADO NON STATALE,FRANZISKANERGYMNASIUM@PROVINZ.BZ.IT,Non Disponibile,Non Disponibile
202223,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TN1E00100V,"COLLEGIO ARCIVESCOVILE ""CELESTINO ENDRICI""","VIA CELESTINO ENDRICI, 23",38100,L378,TRENTO,SCUOLA PRIMARIA NON STATALE,erikapedri@arcivescoviletrento.it,Non Disponibile,Non Disponibile
202223,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNPS00500B,GARDASCUOLA,"VIA XXIV MAGGIO, 1",38062,A372,ARCO,SCUOLA SEC. SECONDO GRADO NON STATALE,segreteria@gardascuola.it,Non Disponibile,Non Disponibile
202223,NORD OVEST,VALLE D' AOSTA,AOSTA,AO1A60301X,"Scuola dell'infanzia paritaria ""Sant'Orso""","Piazza Sant'Orso, 9",11100,A326,AOSTA,SCUOLA INFANZIA NON STATALE,scuola-santorso@libero.it,is-santorso@legalmail.it,http://www.storso.scuole.vda.it/
202223,NORD OVEST,VALLE D' AOSTA,AOSTA,AO1E60301X,"Scuola primaria paritaria ""Sant'Orso""","Via Guido Rey, 4",11100,A326,AOSTA,SCUOLA PRIMARIA NON STATALE,scuola-santorso@libero.it,Non Disponibile,http://www.storso.scuole.vda.it/
202223,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNTD035003,"ISTITUTO ""SACRO CUORE""","PIAZZA SANTA TERESA VERZERI, 4",38100,L378,TRENTO,SCUOLA SEC. SECONDO GRADO NON STATALE,info@istitutosacrocuore.it,Non Disponibile,Non Disponibile
202223,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TB1E00300V,FREIE WALDORFSCHULE BRIXEN DELL'ASSOCIAZIONE PER ...,"VIA VINTLER, 22",39042,B160,BRESSANONE * BRIXEN,SCUOLA PRIMARIA NON STATALE,WALDORFBRIXEN@HOTMAIL.COM,Non Disponibile,Non Disponibile
202223,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TN1M00500B,"ISTITUTO SALESIANO ""MARIA AUSILIATRICE""","VIA BARBACOVI, 22",38100,L378,TRENTO,SCUOLA SEC. PRIMO GRADO NON STATALE,segreteria@sdbtrento.it,Non Disponibile,Non Disponibile
202223,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNPC01500V,"COLLEGIO ARCIVESCOVILE ""CELESTINO ENDRICI""","VIA CELESTINO ENDRICI, 23",38100,L378,TRENTO,SCUOLA SEC. SECONDO GRADO NON STATALE,didatticatn@arcivescoviletrento.it,Non Disponibile,Non Disponibile
202223,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNTN01500Q,"ISTITUTO ""IVO DE CARNERI"" CIVEZZANO","VIA MURIALDO, 30",38045,C756,CIVEZZANO,SCUOLA SEC. SECONDO GRADO NON STATALE,info@istitutodecarneri.it,Non Disponibile,Non Disponibile
202223,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNPSID500S,LICEO STEAM INTERNATIONAL,"VIA FORTUNATO ZENI, 8",38068,H612,ROVERETO,SCUOLA SEC. SECONDO GRADO NON STATALE,Non Disponibile,Non Disponibile,Non Disponibile
202223,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBRH015004,SCUOLA PROFESSIONALE PROVINCIALE,DIETENHEIM 21,39031,B220,BRUNICO * BRUNECK,SCUOLA SEC. SECONDO GRADO NON STATALE,Non Disponibile,Non Disponibile,Non Disponibile
202223,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TN1M00200X,"COLLEGIO ARCIVESCOVILE ""DAME INGLESI""","CORSO BETTINI, 31",38068,H612,ROVERETO,SCUOLA SEC. PRIMO GRADO NON STATALE,DAMEINGLESI@ARCIVESCOVILETRENTO.IT,Non Disponibile,Non Disponibile
202223,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TB1M010007,URSULINEN -BRUNECK,TSCHURTSCHENTHALER PARK 1,39031,B220,BRUNICO * BRUNECK,SCUOLA SEC. PRIMO GRADO NON STATALE,Non Disponibile,Non Disponibile,Non Disponibile
202223,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,IBRH16500A,"Scuola professionale provinciale alberghiera ""C. RITZ""",VIA K. WOLF 44,39012,F132,MERANO * MERAN,SCUOLA SEC. SECONDO GRADO NON STATALE,Fp.Ritz@scuola.alto-adige.it,fp.ritz@pec.prov.bz.it,http://www.ritz.fpbz.it
202223,NORD OVEST,VALLE D' AOSTA,AOSTA,AORA02501M,INSTITUT AGRICOLE REGIONAL -Operatore agricolo (triennale),REGIONE LA ROCHERE 1/A,11100,A326,AOSTA,SCUOLA SEC. SECONDO GRADO NON STATALE,scuola@iaraosta.it,Non Disponibile,http://www.iaraosta.it/
202223,NORD OVEST,VALLE D' AOSTA,AOSTA,AO1A60901X,"Scuola dell'infanzia paritaria ""Crétier Joris""","Via Mons. Alliod, 4",11027,H676,SAINT-VINCENT,SCUOLA INFANZIA NON STATALE,cretier-joris@libero.it,cretier-joris@pec.it,https://www.fondazionecretier-joris.it/
202223,NORD OVEST,VALLE D' AOSTA,AOSTA,AO1E60300X,"Scuola primaria paritaria ""Sant'Orso""","Via Guido Rey, 4",11100,A326,AOSTA,SCUOLA PRIMARIA NON STATALE,scuola-santorso@libero.it,is-santorso@legalmail.it,http://www.storso.scuole.vda.it/
202223,NORD OVEST,VALLE D' AOSTA,AOSTA,AO1A60501X,"Scuola dell'infanzia paritaria ""Rigollet""","Via Tollen, 19",11024,C294,CHATILLON,SCUOLA INFANZIA NON STATALE,asilorigollet@ica-net.it,asilorigollet@cert.ica-net.it,http://www.asilorigollet.it/
202223,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TN1M00900P,"SCUOLA SECONDARIA DI PRIMO GRADO ""LA VELA""","VIA BALISTA, 19",38068,H612,ROVERETO,SCUOLA SEC. PRIMO GRADO NON STATALE,Non Disponibile,Non Disponibile,Non Disponibile
202223,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNTE045005,"ISTITUTO ""IVO DE CARNERI"" CIVEZZANO","VIA MURIALDO, 30",38045,C756,CIVEZZANO,SCUOLA SEC. SECONDO GRADO NON STATALE,info@istitutodecarneri.it,Non Disponibile,Non Disponibile
202223,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TB1E002003,FREIE WALDORFSCHULE BRIXEN DELL'ASSOCIAZIONE PER ...,"VIA VINTLER, 22",39042,B160,BRESSANONE * BRIXEN,SCUOLA PRIMARIA NON STATALE,WALDORFBRIXEN@HOTMAIL.COM,Non Disponibile,Non Disponibile
202223,NORD OVEST,VALLE D' AOSTA,AOSTA,AORA025009,INSTITUT AGRICOLE REGIONAL,REGIONE LA ROCHERE 1,11100,A326,AOSTA,SCUOLA SEC. SECONDO GRADO NON STATALE,scuola@iaraosta.it,Non Disponibile,www.iar.edu.it
202223,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TN1E005006,COOPERATIVA SOCIALE SACRA FAMIGLIA,"VIA SALUGA, 7",38121,L378,TRENTO,SCUOLA PRIMARIA NON STATALE,Non Disponibile,Non Disponibile,Non Disponibile
202223,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TN1M001004,"ISTITUTO SALESIANO ""SANTA CROCE""","VIA MOLAREN, 29",38050,F176,MEZZANO,SCUOLA SEC. PRIMO GRADO NON STATALE,segreteria@sdbmezzano.it,Non Disponibile,Non Disponibile
202223,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TN1E00200P,"ISTITUTO SALESIANO ""SANTA CROCE""","VIA MOLAREN, 29",38050,F176,MEZZANO,SCUOLA PRIMARIA NON STATALE,segreteria@sdbmezzano.it,Non Disponibile,www.salesianimezzano.it
202223,NORD OVEST,VALLE D' AOSTA,AOSTA,AO1E60101X,"Scuola primaria paritaria ""San Giovanni Bosco""","C.so Battaglione Aosta, 95",11100,A326,AOSTA,SCUOLA PRIMARIA NON STATALE,segreteria-donbosco@mail.scuole.vda.it,coordinatrice@pec.donboscoaosta.it,https://www.donboscoaosta.it
202223,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNPS015002,"COLLEGIO ARCIVESCOVILE ""CELESTINO ENDRICI""","VIA CELESTINO ENDRICI, 23",38100,L378,TRENTO,SCUOLA SEC. SECONDO GRADO NON STATALE,didatticatn@arcivescoviletrento.it,Non Disponibile,Non Disponibile
202223,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,IB1A00100N,MARCELLINE,VIA DELLE MARCELLINE 1,39100,A952,BOLZANO * BOZEN,SCUOLA INFANZIA NON STATALE,SEGRETERIA@MARCELLINEBOLZANO.IT,scuolemarcellinebolzano@pec.net,http://www.marcellinebolzano.it
202223,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TB1E6E5003,Freie Waldorfschule Meran,Schennastraße 47a,39012,F132,MERANO * MERAN,SCUOLA PRIMARIA NON STATALE,Non Disponibile,Non Disponibile,www.waldorf-meran.it
202223,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TN1M006007,"ISTITUTO ""SACRO CUORE""","PIAZZA SANTA TERESA VERZERI, 4",38100,L378,TRENTO,SCUOLA SEC. PRIMO GRADO NON STATALE,istitutocomprensivo@istitutosacrocuore.it,Non Disponibile,Non Disponibile
202223,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNPL005006,ARCIVESCOVILE-DAME INGLESI,"CORSO BETTINI, 71",38068,H612,ROVERETO,SCUOLA SEC. SECONDO GRADO NON STATALE,lia@arcivescoviletrento.it,Non Disponibile,Non Disponibile
202223,NORD OVEST,VALLE D' AOSTA,AOSTA,AO1A60401X,"Scuola dell'infanzia paritaria Asilo ""Principe Amedeo""","Via Anfiteatro,1",11100,A326,AOSTA,SCUOLA INFANZIA NON STATALE,asilo.jourdain@virgilio.it,ecolematernelle.certificata@pec.legalzone.it,http://www.fondazionejourdain.it
202223,NORD OVEST,VALLE D' AOSTA,AOSTA,AO1M475010,secondaria di primo grado Don Bosco,"Via Tornafol, 1",11024,C294,CHATILLON,SCUOLA SEC. PRIMO GRADO NON STATALE,segreteria@istitutosalesianovda.it,segreteria@pec.istitutosalesianovda.it,https://www.istitutosalesianovda.it/
202223,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNTN04500G,"ISTITUTO ""GARDASCUOLA""","VIA XXIV MAGGIO, 1",38062,A372,ARCO,SCUOLA SEC. SECONDO GRADO NON STATALE,segreteria@gardascuola.it,Non Disponibile,WWW.GARDASCUOLA.IT
202223,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNPM015003,"ISTITUTO ""SACRO CUORE""","P.ZZA SANTA TERESA VERZERI, 4",38100,L378,TRENTO,SCUOLA SEC. SECONDO GRADO NON STATALE,info@istitutosacrocuore.it,Non Disponibile,Non Disponibile
202223,NORD OVEST,VALLE D' AOSTA,AOSTA,AO1A60101X,"Scuola dell'infanzia paritaria ""San Giovanni Bosco""","C.so Battaglione Aosta, 95",11100,A326,AOSTA,SCUOLA INFANZIA NON STATALE,segreteria-donbosco@mail.scuole.vda.it,coordinatrice@pec.donboscoaosta.it,https://www.donboscoaosta.it
