ANNOSCOLASTICO,AREAGEOGRAFICA,REGIONE,PROVINCIA,CODICEISTITUTORIFERIMENTO,DENOMINAZIONEISTITUTORIFERIMENTO,CODICESCUOLA,DENOMINAZIONESCUOLA,INDIRIZZOSCUOLA,CAPSCUOLA,CODICECOMUNESCUOLA,DESCRIZIONECOMUNE,DESCRIZIONECARATTERISTICASCUOLA,DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA,INDICAZIONESEDEDIRETTIVO,INDICAZIONESEDEOMNICOMPRENSIVO,INDIRIZZOEMAILSCUOLA,INDIRIZZOPECSCUOLA,SITOWEBSCUOLA
202324,NORD OVEST,VALLE D' AOSTA,AOSTA,AOIP008000,J.B. Cerlogne,AO1A008020,infanzia  Saint-Pierre,"Via C. Gex, 3",11010,H674,SAINT-PIERRE,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,is-jbcerlogne@regione.vda.it,Non Disponibile,www.jbcerlogne.scuole.vda.it
202324,NORD OVEST,VALLE D' AOSTA,AOSTA,AOTD010005,"Istituzione scolastica di istruzione tecnica ""I. Manzetti"" (Indirizzo: tecnico del settore tecnologico)",AOTL010008,"Istituzione scolastica di istruzione tecnica ""I. Manzetti"" (Indirizzo: costruzione, ambiente e territorio)","Via Chambéry, 105",11100,A326,AOSTA,NORMALE,ISTITUTO TECNICO PER GEOMETRI,NO,Non Disponibile,is-imanzetti@regione.vda.it,Non Disponibile,www.imanzetti.scuole.vda.it
202324,NORD OVEST,VALLE D' AOSTA,AOSTA,AOIP008000,J.B. Cerlogne,AO1A008010,infanzia Saint-Nicolas,"Fr. Fossaz Dessous, 1",11010,H672,SAINT-NICOLAS,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,is-jbcerlogne@regione.vda.it,Non Disponibile,www.jbcerlogne.scuole.vda.it
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIC82600V,"""TAIO""",TNEE826055,"PREDAIA - TRES ""MONS.NEGRI""",VIA FERRARI,38010,M344,PREDAIA,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,www.ictaio.it
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBIC83000V,MALLES - MALS,TBIC83000V,MALLES - MALS,VIA        PRINCIPALE  11,39024,E862,MALLES VENOSTA * MALS,NORMALE,ISTITUTO COMPRENSIVO,SI,Non Disponibile,ssp.mals@schule.suedtirol.it,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBIC826007,JOSEF MAYR-NUSSER,TBEE82602A,VANDOIES DI SOPRA/OBERVINTL,Non Disponibile,39030,L660,VANDOIES * VINTL,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBIC80700T,JOHANN GEORG PLAZER,TBEE80701X,FRANGARTO/FRANGART,Non Disponibile,39057,A332,APPIANO SULLA STRADA DEL VINO,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBIC839009,LANA - LANA,TBIC839009,LANA - LANA,VIA        FRANZ HOEFLER       1,39011,E434,LANA * LANA,NORMALE,ISTITUTO COMPRENSIVO,SI,Non Disponibile,ssp.lana2@schule.suedtirol.it,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBEE10100T,BRIXEN-STADT/BRESSANONE-CITTA',TBEE10102X,ELVAS/ELVAS,Non Disponibile,39042,B160,BRESSANONE * BRIXEN,DI MONTAGNA,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202324,NORD OVEST,VALLE D' AOSTA,AOSTA,AOIP019000,"Liceo classico, artistico e musicale",AOSD01000C,"Liceo classico, artistico e musicale (Indirizzo artistico)","Via Matteotti, 2",11100,A326,AOSTA,NORMALE,ISTITUTO D'ARTE,NO,Non Disponibile,is-licam@regione.vda.it,Non Disponibile,www.classicoartisticomusicale.scuole.vda.it
202324,NORD OVEST,VALLE D' AOSTA,AOSTA,AOIP018000,ELIO REINOTTI,AO1E018060,primaria Perloz,"Loc Capoluogo, 2",11020,G459,PERLOZ,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,is-ereinotti@regione.vda.it,Non Disponibile,www.elioreinotti
202324,NORD OVEST,VALLE D' AOSTA,AOSTA,AOIP011000,Mont Emilius 2,AOIP011000,Mont Emilius 2,"Fraz. Petit Francais, 17",11020,H110,QUART,NORMALE,Non Disponibile,ND,Non Disponibile,is-memilius2@regione.vda.it,is-memilius2@pec.regione.vda.it,http://www.montemilius2.it/
202324,NORD OVEST,VALLE D' AOSTA,AOSTA,AOIP006000,Valdigne Mont Blanc,AO1E006050,primaria  Courmayeur,V.le Monte Bianco,11013,D012,COURMAYEUR,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,is-valdigne@regione.vda.it,Non Disponibile,www.isvmb.edu.it
202324,NORD OVEST,VALLE D' AOSTA,AOSTA,AOIP003000,Luigi Einaudi,AO1E003010,primaria Aosta - Einaudi,"V.le della Pace, 11",11100,A326,AOSTA,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,is-leinaudi@regione.vda.it,Non Disponibile,www.einaudi.scuole.vda.it
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIC82300B,"""MEZZOCORONA""",TNMM82301C,"MEZZOCORONA ""EUSEBIO CHINI""","VIA FORNAI, 1",38016,F183,MEZZOCORONA,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,Non Disponibile,Non Disponibile,www.icmezzocorona.it
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIC81300R,"""CENTRO VALSUGANA""",TNEE813064,NOVALEDO,"PIAZZA MUNICIPIO, 5",38050,F947,NOVALEDO,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,www.iccentrovalsugana.it
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIC86000A,"""ALTA VALLAGARINA""",TNIC86000A,"""ALTA VALLAGARINA""","VIA STAZIONE, 30",38060,M113,VOLANO,NORMALE,ISTITUTO COMPRENSIVO,SI,Non Disponibile,segr.ic.altavallagarina@scuole.provincia.tn.it,ic.altavallagarina@pec.provincia.tn.it,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,TRENTO,TNIC82200G,"""CEMBRA""",TNMM82201L,CEMBRA LISIGNAGO - CEMBRA,"VIA DELLE NEGRITELLE, 1",38034,M355,CEMBRA LISIGNAGO,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,Non Disponibile,Non Disponibile,www.iccembra.it
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBRC16000N,L. D. SC. UM. E IST. TEC. TURIS. BOLZANO,TBRC16000N,L. D. SC. UM. E IST. TEC. TURIS. BOLZANO,VIA ROEN 12,39100,A952,BOLZANO * BOZEN,NORMALE,IST PROF PER I SERVIZI COMMERCIALI E TURISTICI,SI,Non Disponibile,sogym-fotourismus@schule.suedtirol.it,Non Disponibile,Non Disponibile
202324,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,TBIC84400R,TERLANO - TERLAN,TBEE84401V,TERLANO/TERLAN,VIA NAZIONALE 1,39018,L108,TERLANO * TERLAN,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
