CODICESCUOLA,NUMEROSTUDENTI,STUDENTIIRC
TNIC84800Q,681,521
TNIC82100Q,916,792
TNIC832006,471,447
TNIC86000A,576,501
TNIC816008,518,473
TNIC840005,1328,1069
TNIC84700X,338,316
TNIC82900A,739,683
TNIC833002,603,560
TNIC812001,600,503
TNIC861006,300,262
TNIC809005,743,656
TNIC82200G,673,589
TNIC81300R,755,665
TNIC817004,569,480
TNIC83100A,693,579
TNIC838005,758,642
TNIC810009,819,725
TNIC804002,259,253
TNIC82800E,896,793
TNIC837009,638,552
TNIC845008,864,712
TNIC825003,912,709
TNIC81800X,1152,955
TNIC82300B,938,770
TNIC824007,1064,867
TNIC84900G,766,640
TNIC81400L,902,751
TNIC81500C,1057,825
TNIC808009,709,606
TNIC841001,997,769
TNIC84200R,889,713
TNIC853007,778,515
TNIC859006,752,512
TNIC85500V,943,664
TNIC80100E,542,508
TNIC82600V,599,515
TNIC83600D,723,619
TNIC81900Q,727,614
TNIC82000X,974,864
TNIC85600P,1092,768
TNIC85700E,687,481
TNIC85200B,1344,937
TNIC85800A,1201,874
TNIC85100G,1235,837
TNIC83400T,734,708
TNIC84400C,1335,1089
TNIC80600N,336,288
TNIC803006,415,386
TNIC846004,753,596
TNIC85000Q,1210,1115
TNIS00200E,717,593
TNIS009009,703,400
TNIS00700N,926,825
TNIS00100P,599,489
TNIS004006,722,461
TNIS00300A,967,610
TNTD18000T,792,537
TNTD100001,690,536
TNTD020009,457,274
TNIS00800D,647,408
TNTF02000G,984,611
TNIS013001,1673,1081
TNPC01000Q,919,675
TNPC02000A,1001,802
TNPM01000X,1004,753
TNIS00600T,851,691
TNPM02000E,673,464
TNPC04000G,372,310
TNSD02000X,1264,752
TNPS11000Q,773,553
TNPS01000V,852,656
TNPS02000D,1472,1110
